Name,Description,Latitude,Longitude,InfoURL,ImageURL,,,,,
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara","https://www.history.ucsb.edu/wp-content/uploads/La
goonFall20141.jpg
",,,,,
Pier 39,A famous San Francisco pier where you can watch hundreds of sea lions!,37.808681,-122.409811,https://en.wikipedia.org/wiki/Pier_39,https://i.ytimg.com/vi/QB1NgtQ99cI/maxresdefault.jpg,,,,,
San Diego Zoo,"One of the largest zoos on Earth, home to over 800 different species of animals!",32.735379,-117.149032,https://en.wikipedia.org/wiki/San_Diego_Zoo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS24uo3qN20dxE20_lefHbAdcl8M9HR4sH9S2WL14oLH5HUIZkQ,,,,,
Disneyland,"""The happiest place on Earth""!",33.81218,-117.918218,https://en.wikipedia.org/wiki/Disneyland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sleeping_Beauty_Castle_Disneyland_Anaheim_2013.jpg/220px-Sleeping_Beauty_Castle_Disneyland_Anaheim_2013.jpg,,,,,
Aliso Viejo Town Center,"A city shopping center home to dozens of restaurants and stores of every kind, as well as many activites!",33.573952,-117.724735,"https://en.wikipedia.org/wiki/Aliso_Viejo,_California",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Aliso_Viejo_Town_Center%2C_Aliso_Viejo%2C_CA%2C_USA_crop.png/250px-Aliso_Viejo_Town_Center%2C_Aliso_Viejo%2C_CA%2C_USA_crop.png,,,,,
Yosemite National Park,"A national park settled among the peaks of the Sierra Nevada, home to famous geological formations like Half Dome!",37.866005,-119.538178,https://en.wikipedia.org/wiki/Yosemite_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg/284px-Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
